names,length,no_res_TM_Phob,no_hel_Phob,type,mode,T,chromosome,coorStart,coorEnd
chr02_1.142,230,0,0,iORFs,scrambled,0.2948,2,269503,270246
chr02_1.143,97,0,0,iORFs,scrambled,0.363,2,270633,270946
chr02_1.144,222,0,0,iORFs,scrambled,0.3363,2,273703,274426
chr02_1.145,231,0,0,iORFs,scrambled,0.3237,2,275527,276252
chr02_1.146,212,20,1,iORFs,scrambled,0.3119,2,278352,279020
chr02_1.147,260,0,0,iORFs,scrambled,0.3303,2,280607,281442
chr02_1.148,123,18,1,iORFs,scrambled,0.4282,2,283344,283737
chr02_1.149,48,0,0,iORFs,scrambled,0.3611,2,284271,284427
chr02_1.150,479,46,2,iORFs,scrambled,0.3129,2,287925,289444
chr02_1.151,104,0,0,iORFs,scrambled,0.266,2,290350,290680
chr02_1.152,312,18,1,iORFs,scrambled,0.3226,2,291865,292876
chr02_1.155,115,59,3,iORFs,scrambled,0.3942,2,296002,296368
chr02_1.156,174,0,0,iORFs,scrambled,0.2912,2,297742,298291
chr02_1.157,69,0,0,iORFs,scrambled,0.3206,2,299950,300165
chr02_1.158,84,23,1,iORFs,scrambled,0.4127,2,301254,301518
chr02_1.159,39,0,0,iORFs,scrambled,0.3109,2,301821,301943
chr02_1.160,69,22,1,iORFs,scrambled,0.3173,2,304703,304929
chr02_1.161,88,0,0,iORFs,scrambled,0.3962,2,305976,306268
chr02_1.162,74,0,0,iORFs,scrambled,0.3677,2,306955,307184
chr02_1.163,72,0,0,iORFs,scrambled,0.318,2,307345,307586
chr02_1.164,54,0,0,iORFs,scrambled,0.3313,2,308887,309080
chr02_1.165,81,0,0,iORFs,scrambled,0.3238,2,310313,310563
chr02_1.166,145,0,0,iORFs,scrambled,0.3647,2,311451,311896
chr02_1.167,244,57,3,iORFs,scrambled,0.3292,2,314788,315574
chr02_1.168,139,0,0,iORFs,scrambled,0.323,2,316510,316967
chr02_1.169,126,0,0,iORFs,scrambled,0.3132,2,317864,318265
chr02_1.170,38,0,0,iORFs,scrambled,0.3707,2,320275,320415
chr02_1.171,83,40,2,iORFs,scrambled,0.3944,2,321609,321875
chr02_1.172,118,0,0,iORFs,scrambled,0.307,2,323945,324336
chr02_1.173,25,0,0,iORFs,scrambled,0.2597,2,326058,326138
chr02_1.174,128,0,0,iORFs,scrambled,0.3109,2,326374,326790
chr02_1.175,63,0,0,iORFs,scrambled,0.3455,2,326864,327067
chr02_1.176,206,18,1,iORFs,scrambled,0.3339,2,327703,328368
chr02_1.177,126,0,0,iORFs,scrambled,0.3069,2,330090,330504
chr02_1.178,97,38,2,iORFs,scrambled,0.3127,2,331509,331830
chr02_1.179,143,0,0,iORFs,scrambled,0.3179,2,332358,332828
chr02_1.180,173,0,0,iORFs,scrambled,0.3237,2,333810,334383
chr02_1.181,112,0,0,iORFs,scrambled,0.3412,2,336816,337180
chr02_1.182,122,0,0,iORFs,scrambled,0.276,2,338336,338717
chr02_1.183,98,39,2,iORFs,scrambled,0.3797,2,339350,339672
chr02_1.184,744,131,6,iORFs,scrambled,0.3356,2,340749,343098
chr02_1.185,147,33,2,iORFs,scrambled,0.371,2,344133,344599
chr02_1.186,93,0,0,iORFs,scrambled,0.3571,2,347299,347600
chr02_1.187,61,0,0,iORFs,scrambled,0.3497,2,347684,347876
chr02_1.188,332,0,0,iORFs,scrambled,0.3072,2,349382,350456
chr02_1.190,111,0,0,iORFs,scrambled,0.3254,2,350896,351252
chr02_1.191,227,60,3,iORFs,scrambled,0.3543,2,351453,352190
chr02_1.192,119,0,0,iORFs,scrambled,0.3501,2,353291,353669
chr02_1.193,97,0,0,iORFs,scrambled,0.3814,2,356015,356321
chr02_1.194,93,56,3,iORFs,scrambled,0.4086,2,356564,356858
chr02_1.195,142,36,2,iORFs,scrambled,0.3107,2,360185,360649
chr02_1.196,720,79,4,iORFs,scrambled,0.3087,2,362512,364784
chr02_1.197,78,0,0,iORFs,scrambled,0.3915,2,365717,365973
chr02_1.198,117,41,2,iORFs,scrambled,0.3362,2,366598,366967
chr02_1.199,121,20,1,iORFs,scrambled,0.3342,2,368189,368581
chr02_1.200,113,27,1,iORFs,scrambled,0.3824,2,369676,370034
chr02_1.201,443,77,4,iORFs,scrambled,0.318,2,370697,372099
chr02_1.202,355,0,0,iORFs,scrambled,0.2761,2,372732,373857
chr02_1.203,281,21,1,iORFs,scrambled,0.3187,2,375687,376570
chr02_1.204,246,35,2,iORFs,scrambled,0.3315,2,378430,379217
chr02_1.205,152,0,0,iORFs,scrambled,0.2664,2,379931,380407
chr02_1.206,308,0,0,iORFs,scrambled,0.3326,2,381043,382026
chr02_1.207,55,0,0,iORFs,scrambled,0.3758,2,382671,382854
chr02_1.208,62,0,0,iORFs,scrambled,0.2043,2,383016,383208
chr02_1.209,90,0,0,iORFs,scrambled,0.2926,2,385983,386280
chr02_1.210,354,22,1,iORFs,scrambled,0.3177,2,389211,390368
chr02_1.211,60,0,0,iORFs,scrambled,0.2818,2,391611,391798
chr02_1.212,265,20,1,iORFs,scrambled,0.335,2,392287,393117
chr02_1.213,159,41,2,iORFs,scrambled,0.3711,2,394854,395376
chr02_1.214,103,25,1,iORFs,scrambled,0.3204,2,398271,398607
chr02_1.215,111,0,0,iORFs,scrambled,0.2955,2,400884,401246
chr02_1.216,194,17,1,iORFs,scrambled,0.3425,2,405245,405871
chr02_1.218,189,59,3,iORFs,scrambled,0.3339,2,406025,406621
chr02_1.219,225,88,4,iORFs,scrambled,0.358,2,407163,407869
chr02_1.220,338,0,0,iORFs,scrambled,0.2857,2,408102,409162
chr02_1.221,138,0,0,iORFs,scrambled,0.3133,2,410623,411047
chr02_1.222,66,0,0,iORFs,scrambled,0.3485,2,413975,414179
chr02_1.223,229,20,1,iORFs,scrambled,0.3038,2,415255,415976
chr02_1.224,273,38,2,iORFs,scrambled,0.3756,2,416900,417777
chr02_1.225,256,38,2,iORFs,scrambled,0.2935,2,418073,418900
chr02_1.226,324,0,0,iORFs,scrambled,0.2806,2,419158,420194
chr02_1.227,231,36,2,iORFs,scrambled,0.3218,2,423035,423758
chr02_1.228,51,23,1,iORFs,scrambled,0.4805,2,424823,424983
chr02_1.229,126,0,0,iORFs,scrambled,0.25,2,425776,426183
chr02_1.230,32,0,0,iORFs,scrambled,0.3229,2,427052,427148
chr02_1.231,66,0,0,iORFs,scrambled,0.4192,2,427478,427691
chr02_1.232,139,0,0,iORFs,scrambled,0.4153,2,429095,429541
chr02_1.233,338,77,4,iORFs,scrambled,0.3251,2,430945,432029
chr02_1.234,35,0,0,iORFs,scrambled,0.3619,2,434291,434399
chr02_1.235,100,0,0,iORFs,scrambled,0.3223,2,435692,436014
chr02_1.236,75,0,0,iORFs,scrambled,0.32,2,436707,436944
chr02_1.237,61,0,0,iORFs,scrambled,0.3804,2,441309,441508
chr02_1.238,71,0,0,iORFs,scrambled,0.3442,2,443584,443814
chr02_1.239,119,0,0,iORFs,scrambled,0.3343,2,444687,445055
chr02_1.240,122,0,0,iORFs,scrambled,0.3025,2,447317,447702
chr02_1.242,60,0,0,iORFs,scrambled,0.3297,2,449457,449660
chr02_1.243,70,0,0,iORFs,scrambled,0.2783,2,450650,450874
chr02_1.244,219,0,0,iORFs,scrambled,0.2538,2,451963,452651
chr02_1.245,185,21,1,iORFs,scrambled,0.3759,2,453218,453786
chr02_1.246,95,0,0,iORFs,scrambled,0.3228,2,454524,454815
chr02_1.247,78,0,0,iORFs,scrambled,0.2851,2,457659,457912
chr02_1.248,73,0,0,iORFs,scrambled,0.3348,2,458356,458601
chr02_1.250,301,44,2,iORFs,scrambled,0.3215,2,460215,461171
chr02_1.251,86,0,0,iORFs,scrambled,0.2317,2,461867,462132
chr02_1.252,89,19,1,iORFs,scrambled,0.3829,2,462573,462863
chr02_1.253,382,0,0,iORFs,scrambled,0.2491,2,466042,467241
chr02_1.254,39,0,0,iORFs,scrambled,0.4068,2,469614,469741
chr02_1.255,84,0,0,iORFs,scrambled,0.3583,2,473920,474192
chr02_1.256,385,0,0,iORFs,scrambled,0.3177,2,476431,477664
chr02_1.257,92,0,0,iORFs,scrambled,0.3417,2,479041,479331
chr02_1.258,34,0,0,iORFs,scrambled,0.3333,2,480317,480428
chr02_1.259,136,20,1,iORFs,scrambled,0.3683,2,480917,481357
chr02_1.260,190,0,0,iORFs,scrambled,0.3024,2,483361,483963
chr02_1.261,76,0,0,iORFs,scrambled,0.3755,2,484497,484735
chr02_1.262,78,0,0,iORFs,scrambled,0.3149,2,486948,487192
chr02_1.263,169,0,0,iORFs,scrambled,0.2593,2,488374,488898
chr02_1.264,143,0,0,iORFs,scrambled,0.2767,2,490386,490843
chr02_1.265,62,0,0,iORFs,scrambled,0.3495,2,491064,491262
chr02_1.266,82,0,0,iORFs,scrambled,0.3333,2,492816,493074
chr02_1.267,76,22,1,iORFs,scrambled,0.3816,2,494109,494346
chr02_1.268,79,20,1,iORFs,scrambled,0.3629,2,495333,495585
chr02_1.269,87,0,0,iORFs,scrambled,0.2586,2,496863,497156
chr02_1.270,113,0,0,iORFs,scrambled,0.2229,2,499271,499645
chr02_1.271,115,0,0,iORFs,scrambled,0.2746,2,501436,501797
chr02_1.272,66,17,1,iORFs,scrambled,0.295,2,504638,504847
chr02_1.273,111,0,0,iORFs,scrambled,0.2365,2,505300,505661
chr02_1.274,85,0,0,iORFs,scrambled,0.2918,2,512768,513037
chr02_1.275,54,0,0,iORFs,scrambled,0.3804,2,513577,513755
chr02_1.276,102,36,2,iORFs,scrambled,0.3464,2,515330,515657
chr02_1.277,50,0,0,iORFs,scrambled,0.3333,2,517184,517343
chr02_1.278,124,21,1,iORFs,scrambled,0.3306,2,526622,527018
chr02_1.279,87,21,1,iORFs,scrambled,0.3498,2,528032,528310
chr02_1.280,69,20,1,iORFs,scrambled,0.3828,2,530632,530862
chr02_1.281,330,60,3,iORFs,scrambled,0.3145,2,532176,533228
chr02_1.282,66,0,0,iORFs,scrambled,0.3,2,533543,533755
chr02_1.283,137,0,0,iORFs,scrambled,0.3471,2,534811,535253
chr02_1.284,147,23,1,iORFs,scrambled,0.3032,2,536090,536568
chr02_1.285,132,0,0,iORFs,scrambled,0.2714,2,537459,537869
chr02_1.286,84,0,0,iORFs,scrambled,0.2992,2,539699,539980
chr02_1.287,59,20,1,iORFs,scrambled,0.3933,2,541015,541202
chr02_1.288,165,0,0,iORFs,scrambled,0.2949,2,544487,545021
chr02_1.289,123,46,2,iORFs,scrambled,0.3784,2,545972,546369
