"","orf_name","quality","protogene","barflex_space","overexpression_relative_fitness","overexpression_competitive_fitness","expr_level","Length","percent_disorder","overlap","loss_fitness","no_helices_TMHMM","no_helices_PHOBIUS","GC","percent_phobius","percent_tmhmm","strain_goodalign","strained_conserved_orf","strain_pi"
"26","YAL025C","Verified","Established ORFs","yes","decreased",-0.231,3.6859250942875,921,0.604575,0,0.6928,0,0,0.424,0,0,2000,2000,0.00174838
"27","YAL026C","Verified","Established ORFs","no",NA,NA,1.5392300173906,4068,0.248708,1,0.692,9,9,0.376,0.137269372693727,0.144811808118081,1962,1958,0.00265484
"28","YAL026C-A","Dubious","Emerging ORFs","no",NA,NA,1.6146244391214,438,0.193103,1,NA,1,2,0.336,0.268965517241379,0.209862068965517,1958,1388,0.00687242
"29","YAL027W","Uncharacterized","Established ORFs","yes","decreased",-0.484,2.76171734235115,786,0.126437,1,1.0277,0,0,0.384,0,0.000344827586206897,1996,1981,0.0119262
"30","YAL028W","Verified","Established ORFs","no",NA,NA,0.266203040774657,1587,0.793561,0,0.9822,1,1,0.426,0.0378787878787879,0.0370833333333333,1974,1971,0.00571864
"31","YAL029C","Verified","Established ORFs","no",NA,NA,1.61003773250607,4416,0.218219,0,1.0277,0,0,0.372,0,0.000129163834126445,1944,1930,0.00540097
"32","YAL030W","Verified","Established ORFs","no",NA,NA,1.68026909319469,467,0.581197,0,1.052,1,1,0.425,0.170940170940171,0.183760683760684,2002,0,0.00428621
"33","YAL031C","Verified","Established ORFs","yes","decreased",-3.273,1.38454282808108,2283,0.489474,1,1.0028,0,1,0.401,0.025,0.0159078947368421,1984,1983,0.00408075
"34","YAL031W-A","Dubious","Emerging ORFs","no",NA,NA,-6.90775527898214,309,0.294118,1,NA,1,0,0.402,0,0.184411764705882,2006,1231,0.00409397
"35","YAL032C","Verified","Established ORFs","no",NA,NA,1.87134053189839,1140,0.569921,0,1.0405,0,0,0.453,0,0,1986,1235,0.0045166
"36","YAL033W","Verified","Established ORFs","yes","unchanged",-0.197,3.57113704263238,522,0.289017,0,NA,0,0,0.416,0,0.000289017341040462,2010,2010,0.0018777
"37","YAL034C","Verified","Established ORFs","yes","decreased",0.031,-0.0586889963486796,1242,0.687651,0,1.003,0,0,0.423,0,0,1994,1990,0.0041403
"38","YAL034C-B","Dubious","Emerging ORFs","yes","unchanged",NA,-1.95192822138088,354,0.290598,1,NA,0,0,0.345,0,0.0570940170940171,1824,1291,0.00506072
"39","YAL034W-A","Verified","Established ORFs","yes","unchanged",0.256,1.68991129658398,870,0.622837,1,0.8447,0,0,0.386,0,0,2002,2002,0.00411952
"40","YAL035W","Verified","Established ORFs","yes","decreased",-1.87,3.126453471277,3009,0.506986,0,NA,0,0,0.413,0,3.99201596806387e-05,1316,957,0.00432551
"41","YAL036C","Verified","Established ORFs","yes","unchanged",NA,3.61792036517344,1110,0.271003,0,1.0055,0,0,0.437,0,0.000840108401084011,1964,1962,0.00411449
"42","YAL037C-A","Uncharacterized","Emerging ORFs","yes","decreased",0.072,-0.891598119283784,93,0.2,0,1.012,0,0,0.322,0,0,1994,1990,0.0102892
"43","YAL037W","Uncharacterized","Established ORFs","yes","unchanged",0.47,1.52866160240681,804,0.228464,0,1.021,0,0,0.392,0,0.000973782771535581,1964,1950,0.0067338
"44","YAL038W","Verified","Established ORFs","yes","decreased",0.547,5.87286961945647,1503,0.148,1,0.876,0,0,0.463,0,2e-05,2002,2002,0.00123509
"45","YAL039C","Verified","Established ORFs","yes","unchanged",-0.024,2.30677629761251,810,0.594796,0,0.7895,0,0,0.533,0,0,1716,1695,0.00639436
"46","YAL040C","Verified","Established ORFs","yes","decreased",NA,1.05291732940598,1743,0.467241,0,0.9575,0,2,0.411,0.0672413793103448,0.00353448275862069,1952,1951,0.00575756
"47","YAL041W","Verified","Established ORFs","yes","unchanged",-0.134,2.07656240092899,2565,0.508197,0,0.789615384615385,0,0,0.389,0,0,1852,1852,0.00433972
"48","YAL042C-A","Dubious","Emerging ORFs","no",NA,NA,-2.48891467118554,378,0.736,1,0.98425,1,1,0.483,0.16,0.15224,2010,1998,0.00399352
"49","YAL042W","Verified","Established ORFs","yes","unchanged",NA,4.23892098332934,1248,0.250602,1,1.0085,1,2,0.496,0.101204819277108,0.0808915662650602,1996,1996,0.00506268
"50","YAL043C","Verified","Established ORFs","yes","decreased",-0.547,1.69561560867515,2358,0.495541,0,0.96225,0,1,0.46,0.021656050955414,0.00228025477707006,1912,1910,0.00488043
"51","YAL044C","Verified","Established ORFs","no",NA,NA,5.17513226597766,513,0.541176,0,0.817,0,0,0.482,0,0,1998,1998,0.00335625
"52","YAL044W-A","Uncharacterized","Established ORFs","yes","decreased",NA,2.79049003337547,333,0.309091,1,1.0115,0,0,0.473,0,0,2006,2006,0.00416432
"53","YAL046C","Uncharacterized","Established ORFs","yes","unchanged",NA,2.75715777520924,357,0.322034,0,0.9525,0,0,0.483,0,0,2004,1997,0.0054067
"54","YAL047C","Verified","Established ORFs","no",NA,NA,1.22934811065716,1869,0.709003,0,NA,0,0,0.365,0,0,1976,1974,0.00610525
"55","YAL047W-A","Dubious","Established ORFs","no",NA,NA,-0.0618754037180875,330,0.192661,1,NA,1,2,0.358,0.431192660550459,0.271467889908257,1994,1978,0.0065575
"56","YAL048C","Verified","Established ORFs","yes","decreased",0.614,0.907048150507222,1989,0.154079,1,0.869,1,1,0.4,0.0317220543806647,0.0393655589123867,1964,1962,0.00623162
"57","YAL049C","Uncharacterized","Established ORFs","yes","unchanged",0.842,3.06902920261545,741,0.134146,0,1.0105,0,0,0.42,0,0.00113821138211382,1860,1860,0.0044156
"58","YAL051W","Verified","Established ORFs","no",NA,NA,1.0064969997603,3144,0.341929,0,0.9767,0,3,0.374,0.0563514804202483,0.0156733524355301,1962,1961,0.00586079
"59","YAL053W","Verified","Established ORFs","yes","decreased",NA,2.19098291641274,2352,0.256705,0,0.9782,9,7,0.42,0.201787994891443,0.254355044699872,1982,1979,0.00498271
"60","YAL054C","Verified","Established ORFs","no",NA,NA,-0.470003629245736,2142,0.208976,0,0.9985,0,0,0.454,0,0.00427769985974755,1974,1974,0.00298205
"61","YAL055W","Verified","Established ORFs","yes","unchanged",-0.311,1.70201709372719,543,0.327778,0,0.8815,1,1,0.426,0.111111111111111,0.100277777777778,1980,1980,0.0111341
"62","YAL056C-A","Dubious","Emerging ORFs","no",NA,NA,-3.12356564506388,351,0.25,1,0.96623,0,0,0.417,0,0.0195689655172414,1970,1915,0.00601401
"63","YAL056W","Verified","Established ORFs","yes","unchanged",-0.35,2.35905993992202,2643,0.376136,0,1.0457,0,0,0.395,0,1.13636363636364e-05,1972,1970,0.00557098
"64","YAL058W","Verified","Established ORFs","no",NA,NA,2.09519185177107,1509,0.294821,1,0.9683,1,1,0.434,0.0378486055776892,0.0614541832669323,1980,1975,0.0071074
"65","YAL059W","Verified","Established ORFs","yes","unchanged",-0.168,3.74611008756821,639,0.75,1,1.0355,0,0,0.403,0,0,2002,37,0.00697557
"66","YAL060W","Verified","Established ORFs","yes","unchanged",0.19,3.14043849455325,1149,0.112565,0,1.0108,0,0,0.452,0,0.0148952879581152,1946,1946,0.00709719
"67","YAL061W","Uncharacterized","Established ORFs","yes","unchanged",1.017,1.06367571878721,1254,0.189448,0,1.0365,0,0,0.484,0,0.00976019184652278,1936,1903,0.00806897
"68","YAL062W","Verified","Established ORFs","yes","unchanged",-0.018,0.448524597568611,1374,0.170678,0,1.006,0,0,0.487,0,2.18818380743982e-05,1914,1898,0.00786508
"69","YAL063C","Verified","Established ORFs","no",NA,NA,-2.71810053695571,3969,0.80938,0,1.062,1,1,0.447,0.0128593040847201,0.0226475037821483,0,0,0.0099069
"70","YAL063C-A","Uncharacterized","Emerging ORFs","no",NA,NA,-1.3130438993803,291,0.104167,0,1.0015,0,0,0.285,0,0.000520833333333333,410,388,0.00636149
"71","YAL064C-A","Uncharacterized","Established ORFs","yes","unchanged",-0.641,-6.90775527898214,381,0.0952381,0,1.0075,0,0,0.439,0,0.00587301587301587,174,101,0.0175523
"72","YAL064W","Verified","Emerging ORFs","yes","unchanged",1.544,-6.90775527898214,327,0.0833333,0,1.06,0,0,0.373,0,0.00138888888888889,164,42,0.0192183
"73","YAL064W-B","Uncharacterized","Established ORFs","no",NA,NA,-1.32425897020044,381,0.277778,0,NA,3,3,0.455,0.515873015873016,0.456190476190476,48,48,0.00730042
"74","YAL065C","Uncharacterized","Established ORFs","yes","unchanged",0.428,-2.61729583783375,387,0.75,0,1.0132,1,0,0.445,0,0.137734375,310,307,0.015102
"75","YAL066W","Dubious","Emerging ORFs","yes","unchanged",0.113,-1.68739945390381,309,0.186275,0,0.9625,2,2,0.288,0.372549019607843,0.315,954,448,0.0145115
"76","YAL067C","Verified","Established ORFs","yes","decreased",0.368,-0.41855034765682,1782,0.172007,0,1.0197,12,12,0.361,0.414839797639123,0.424097807757167,898,835,0.00782998
"77","YAL067W-A","Uncharacterized","Emerging ORFs","yes","unchanged",0.629,-6.90775527898214,228,0.04,0,1.0415,0,0,0.413,0,0.000533333333333333,66,45,0.0435219
"78","YAL068C","Uncharacterized","Established ORFs","yes","decreased",0.048,-6.90775527898214,363,0.183333,0,1.0217,0,0,0.497,0,0.0383333333333333,20,20,0.010312
"79","YAL068W-A","Dubious","Emerging ORFs","no",NA,NA,-6.90775527898214,255,0.297619,1,NA,0,0,0.357,0,0.155,16,16,0.0211305
"80","YAL069W","Dubious","Emerging ORFs","yes","unchanged",0.68,-6.90775527898214,315,0.25,1,NA,0,0,0.439,0,0.153557692307692,12,12,0.0232063
"81","YAR002C-A","Verified","Established ORFs","yes","unchanged",NA,4.20984350985285,660,0.200913,0,1.0065,2,1,0.396,0.0867579908675799,0.188401826484018,2006,2006,0.00199738
"82","YAR002W","Verified","Established ORFs","yes","unchanged",0.737,2.60712428251225,1620,0.953618,0,0.989,0,0,0.395,0,0,1962,1961,0.0042448
"83","YAR003W","Verified","Established ORFs","yes","unchanged",0.998,2.66060912650207,1281,0.215962,0,0.8655,0,0,0.401,0,2.34741784037559e-05,1980,1977,0.00232516
"84","YAR007C","Verified","Established ORFs","yes","unchanged",NA,2.50837900597314,1866,0.202899,0,0.8691,0,0,0.396,0,0,1964,1963,0.00395236
"85","YAR008W","Verified","Established ORFs","yes","decreased",0.05,2.79098104179385,828,0.32,0,NA,0,0,0.394,0,0.00221818181818182,1986,1984,0.00469757
"86","YAR014C","Verified","Established ORFs","no",NA,NA,2.47905623610982,2124,0.855728,0,0.8958,0,0,0.418,0,0,1958,1958,0.00413887
"87","YAR015W","Verified","Established ORFs","yes","decreased",-0.132,4.60085087116386,921,0.245098,0,1.005,0,0,0.435,0,0,1964,1964,0.00430684
"88","YAR018C","Verified","Established ORFs","yes","decreased",-1.536,1.38854183366037,1308,0.349425,0,0.9333,0,0,0.394,0,0.000275862068965517,1988,1985,0.00220165
"89","YAR019C","Verified","Established ORFs","no",NA,NA,0.254642218373581,2925,0.253593,1,0.676775,0,0,0.401,0,0.000246406570841889,1938,1938,0.00312717
"90","YAR019W-A","Dubious","Emerging ORFs","no",NA,NA,-0.543004522130226,345,0.27193,1,NA,0,0,0.444,0,0.0447368421052632,1988,1980,0.00811982
"91","YAR020C","Verified","Established ORFs","yes","unchanged",-0.723,0.134530892957606,168,0.4,0,1.0217,1,0,0.448,0,0.301818181818182,1906,362,0.00473198
"92","YAR023C","Uncharacterized","Established ORFs","yes","decreased",0.336,1.6605111826181,540,0.0782123,0,1.0037,1,0,0.404,0,0.182402234636871,1490,1486,0.0173308
"93","YAR027W","Verified","Established ORFs","yes","decreased",0.037,3.32823234585137,708,0.229787,0,1.0057,2,2,0.374,0.174468085106383,0.178808510638298,904,902,0.00784694
"94","YAR028W","Uncharacterized","Established ORFs","yes","unchanged",NA,2.75404280495268,705,0.277778,0,1.038,2,2,0.415,0.170940170940171,0.180598290598291,1202,706,0.0110646
"95","YAR029W","Uncharacterized","Established ORFs","yes","unchanged",-0.045,2.33843474588774,225,0.581081,1,0.8395,0,0,0.374,0,0,732,304,0.0155359
"96","YAR030C","Dubious","Emerging ORFs","no",NA,NA,-0.295714244149045,342,0.0707965,1,0.9875,0,1,0.366,0.141592920353982,0.0828318584070796,322,249,0.0143587
"97","YAR031W","Verified","Established ORFs","yes","unchanged",0.962,1.22700550343651,897,0.244966,1,1.0117,2,2,0.388,0.134228187919463,0.141845637583893,72,61,0.0245294
"98","YAR033W","Verified","Established ORFs","no",NA,NA,0.816249377693929,705,0.269231,0,1.052,2,2,0.412,0.183760683760684,0.18517094017094,582,553,0.00867374
"99","YAR035C-A","Uncharacterized","Emerging ORFs","yes","unchanged",1.201,-6.90775527898214,81,1,0,1.0095,0,0,0.449,0,0,1988,635,0.00151775
"100","YAR035W","Verified","Established ORFs","yes","decreased",NA,-0.886731929632611,2064,0.296943,0,1.0195,0,0,0.581,0,4.36681222707424e-05,1640,1510,0.00536646
"101","YAR042W","Verified","Established ORFs","yes","decreased",-2.553,0.750472247179215,3567,0.430135,0,1.023,0,0,0.441,0,1.68350168350168e-05,1740,1729,0.00613114
"102","YAR047C","Dubious","Emerging ORFs","no",NA,NA,-0.616186139423817,321,0.0943396,0,0.98,2,1,0.318,0.19811320754717,0.351792452830189,132,124,0.00261883
"103","YAR050W","Verified","Established ORFs","no",NA,NA,-2.02495335639577,4614,0.834743,0,1.0175,1,1,0.453,0.011060507482108,0.0168510084580351,2,2,0.0102979
"104","YAR053W","Dubious","Emerging ORFs","yes","unchanged",0.566,-0.800732391239883,297,0.0714286,0,NA,0,2,0.323,0.428571428571429,0.34765306122449,62,60,0.0122273
"105","YAR060C","Dubious","Emerging ORFs","no",NA,NA,-6.90775527898214,336,0.666667,0,NA,0,0,0.387,0,9.00900900900901e-05,2022,2022,0
"106","YAR064W","Uncharacterized","Emerging ORFs","yes","unchanged",NA,-6.90775527898214,300,0.545455,0,NA,0,1,0.481,0.191919191919192,0.0414141414141414,150,150,0.00462941
"107","YAR066W","Uncharacterized","Emerging ORFs","yes","unchanged",NA,-6.90775527898214,612,0.719212,0,1.022,0,0,0.471,0,0.000147783251231527,312,288,0.0020857
"108","YAR068W","Uncharacterized","Established ORFs","yes","unchanged",0.195,-6.90775527898214,486,0.801242,0,0.9875,0,3,0.474,0.347826086956522,0.274347826086957,1026,1016,0.0027394
"109","YAR069C","Dubious","Emerging ORFs","no",NA,NA,-6.90775527898214,294,0.0824742,0,NA,2,2,0.392,0.494845360824742,0.367216494845361,146,145,0.00275144
"110","YAR070C","Dubious","Emerging ORFs","no",NA,NA,-0.173163619009189,300,0.040404,0,NA,0,0,0.394,0,0.0917171717171717,178,178,0.00472955
"111","YAR071W","Verified","Established ORFs","yes","unchanged",1.345,0.466873736236808,1404,0.11349,0,1.071,0,0,0.423,0,0.00160599571734475,108,108,0.00582329
"112","YAR075W","Dubious","Established ORFs","yes","unchanged",0.203,-0.606969484318893,474,0.382166,1,0.9755,0,0,0.41,0,0.0408917197452229,52,44,0.0112324
"113","YBL001C","Verified","Established ORFs","no",NA,NA,4.21657694410012,315,0.326923,0,1.023,0,0,0.394,0,0.000769230769230769,2018,2002,0.0010283
"114","YBL002W","Verified","Established ORFs","no",NA,NA,5.21473465043177,396,0.59542,0,1.001,0,0,0.42,0,0,2008,2006,0.00206179
"115","YBL003C","Verified","Established ORFs","yes","unchanged",0.296,6.16349163050518,399,0.363636,0,1.0115,0,0,0.414,0,0.00984848484848485,2012,2011,0.00151895
"116","YBL004W","Verified","Established ORFs","no",NA,NA,1.57567428228129,7482,0.168071,0,0.986,0,0,0.355,0,0.000120336943441637,1952,1950,0.00243141
"117","YBL005W","Verified","Established ORFs","yes","decreased",NA,0.945461109173935,2931,0.286885,0,1.0365,0,0,0.36,0,0.000215163934426229,1972,1933,0.00339854
"118","YBL006C","Verified","Established ORFs","yes","decreased",0.183,4.08309822524902,543,0.511111,1,0.793,0,0,0.487,0,0,2004,1998,0.00382361
"119","YBL007C","Verified","Established ORFs","yes","decreased",-0.557,1.7311244306907,3735,0.728296,0,0.8322,0,0,0.434,0,0,1734,1672,0.00291002
"120","YBL008W","Verified","Established ORFs","yes","unchanged",0.197,1.5931052578132,2523,0.32381,0,0.9477,0,0,0.396,0,1.19047619047619e-05,1066,1058,0.00229833
"121","YBL008W-A","Uncharacterized","Emerging ORFs","yes","decreased",1.389,-0.20089294237939,240,0.202532,0,0.989,0,0,0.338,0,0.0137974683544304,2020,1968,0.00147368
"122","YBL009W","Verified","Established ORFs","yes","decreased",-1.061,1.0525683501667,2031,0.554734,0,1.015,0,0,0.381,0,1.4792899408284e-05,1972,1947,0.0050148
"123","YBL010C","Uncharacterized","Established ORFs","yes","unchanged",NA,2.27562491141126,843,0.614286,0,0.987,0,0,0.382,0,0,2002,2001,0.00285571
"124","YBL011W","Verified","Established ORFs","yes","decreased",-0.314,1.82969730856845,2280,0.339921,1,0.9173,4,3,0.43,0.0922266139657444,0.103465085638999,1348,1295,0.00410014
"125","YBL012C","Dubious","Emerging ORFs","no",NA,NA,-6.90775527898214,402,0.203008,1,NA,1,1,0.449,0.142857142857143,0.148421052631579,1988,1765,0.00344361
"126","YBL013W","Verified","Established ORFs","yes","decreased",-0.676,-0.549913012474038,1206,0.169576,0,0.974,0,0,0.492,0,0.00027431421446384,1518,1510,0.00420734
"127","YBL014C","Verified","Established ORFs","yes","decreased",NA,1.73571807834443,2685,0.388143,0,1.008,0,0,0.393,0,0,1988,1988,0.00353245
"128","YBL015W","Verified","Established ORFs","yes","unchanged",-0.196,1.47247205736094,1581,0.157795,0,0.9855,0,0,0.46,0,0,1966,1963,0.00258472
"129","YBL016W","Verified","Established ORFs","yes","unchanged",NA,2.59518007730647,1062,0.110482,0,NA,0,0,0.458,0,8.4985835694051e-05,1986,1985,0.00318934
"130","YBL017C","Verified","Established ORFs","yes","decreased",-1.136,1.82034692607997,4740,0.275491,0,0.9715,1,1,0.39,0.0120329322355921,0.0150918302723243,1214,1204,0.0064598
"131","YBL018C","Verified","Established ORFs","yes","unchanged",0.37,3.40422612372216,477,0.390977,0,0.755,0,0,0.371,0,7.5187969924812e-05,2014,0,0.0118059
"132","YBL019W","Verified","Established ORFs","yes","decreased",-0.253,1.72455071953461,1563,0.298077,0,1.039,0,0,0.375,0,3.84615384615385e-05,1954,1951,0.00447253
"133","YBL020W","Verified","Established ORFs","yes","decreased",-0.967,2.57968638590164,1725,0.123693,0,0.949,12,12,0.383,0.412891986062718,0.429668989547038,1988,1987,0.00401061
"134","YBL021C","Verified","Established ORFs","no",NA,NA,3.05772067088806,435,0.590278,0,0.8702,0,0,0.481,0,0.000347222222222222,2010,2001,0.00197891
"135","YBL022C","Verified","Established ORFs","yes","decreased",-0.771,1.7652443635723,3402,0.385702,0,0.333,0,0,0.407,0,8.8261253309797e-06,1968,1965,0.00301369
"136","YBL023C","Verified","Established ORFs","yes","decreased",-0.465,1.60382217364846,2607,0.41129,0,0.954266666666667,0,0,0.401,0,0,1944,1943,0.00234803
"137","YBL024W","Verified","Established ORFs","yes","decreased",-0.741,2.82464734868602,2055,0.24269,0,1.0082,0,0,0.387,0,0,1988,1988,0.0031608
"138","YBL025W","Verified","Established ORFs","yes","unchanged",0.478,3.08767314725235,438,0.22069,0,NA,0,0,0.402,0,0.000137931034482759,2014,2011,0.00319749
"139","YBL026W","Verified","Established ORFs","no",NA,NA,3.56826428675596,416,0.147368,0,0.9408,0,0,0.347,0,0.000105263157894737,2010,0,0.00127879
"140","YBL027W","Verified","Established ORFs","no",NA,NA,5.63337073991583,954,0.566138,0,0.788,0,0,0.446,0,0,1980,0,0.00430279
"141","YBL028C","Verified","Established ORFs","yes","unchanged",NA,4.69743026441339,321,1,0,1.0368,0,0,0.368,0,0,2020,2018,0.00329245
"142","YBL029C-A","Uncharacterized","Established ORFs","yes","decreased",-0.448,2.82060477734028,285,0.265957,0,1.04,0,0,0.401,0,0.0106382978723404,2018,1986,0.00105623
"143","YBL029W","Uncharacterized","Established ORFs","yes","decreased",-1.786,1.20207099703634,1131,0.651596,0,1.0488,0,0,0.38,0,0,1682,1653,0.00405456
"144","YBL030C","Verified","Established ORFs","yes","decreased",0.035,2.78581338956793,957,0.122642,0,NA,3,2,0.431,0.125786163522013,0.231792452830189,1982,1982,0.00473945
"145","YBL031W","Verified","Established ORFs","no",NA,NA,1.2828764019214,1017,1,0,0.896,0,0,0.398,0,0,2000,1997,0.00227255
"146","YBL032W","Verified","Established ORFs","yes","unchanged",0.092,2.61586181010731,1146,0.459318,0,1.0455,0,0,0.463,0,2.6246719160105e-05,1972,1901,0.00354735
"147","YBL033C","Verified","Established ORFs","yes","unchanged",0.194,2.44806975973603,1038,0.269565,0,NA,0,0,0.481,0,2.89855072463768e-05,2000,1988,0.00324465
"148","YBL034C","Verified","Established ORFs","no",NA,NA,0.301584977620772,4542,0.462657,0,0.80578,0,0,0.354,0,0.00720423000660939,1950,1943,0.00362652
"149","YBL035C","Verified","Established ORFs","no",NA,NA,0.863311807083268,2118,0.398582,0,0.780233333333333,0,0,0.394,0,0,1884,540,0.00465424
"150","YBL036C","Verified","Established ORFs","yes","unchanged",NA,3.82067496596884,774,0.22179,0,0.975,0,0,0.37,0,0,1992,1990,0.00330069
"151","YBL037W","Verified","Established ORFs","no",NA,-0.771,0.902191807494653,3078,0.213659,0,1.0055,0,0,0.376,0,0.000273170731707317,1946,1927,0.00332549
"152","YBL038W","Verified","Established ORFs","yes","unchanged",-0.261,3.48651844198226,699,0.340517,0,0.924,0,0,0.397,0,0,2000,2000,0.00430499
"153","YBL039C","Verified","Established ORFs","yes","unchanged",0.885,4.08220450232793,1740,0.139896,1,0.9788,0,0,0.402,0,0.0218998272884283,1986,1986,0.00330897
"154","YBL039W-B","Uncharacterized","Established ORFs","yes","decreased",NA,2.65990982577428,180,0.322034,0,1.017,1,1,0.345,0.305084745762712,0.368135593220339,2018,1961,0.00496523
"155","YBL040C","Verified","Established ORFs","no",NA,NA,4.23057854954538,757,0.0776256,0,0.68715,4,7,0.364,0.598173515981735,0.417716894977169,2004,0,0.00253085
"156","YBL041W","Verified","Established ORFs","yes","decreased",0.323,3.43327727512557,726,0.207469,0,0.834966666666667,0,0,0.416,0,4.149377593361e-05,2000,1999,0.00176307
"157","YBL042C","Verified","Established ORFs","yes","unchanged",0.606,2.27541942492128,1920,0.175274,0,0.9968,10,12,0.418,0.384976525821596,0.397527386541471,1960,1877,0.00300689
"158","YBL043W","Verified","Established ORFs","yes","decreased",0.064,-0.151986356997882,774,0.723735,0,1.0053,0,0,0.433,0,0,1990,1989,0.00378443
"159","YBL044W","Uncharacterized","Emerging ORFs","yes","unchanged",-0.147,-0.29975465368605,369,0.614754,0,1.038,0,0,0.475,0,0.000163934426229508,526,53,0.00350207
"160","YBL045C","Verified","Established ORFs","yes","decreased",0.654,2.6899541168328,1374,0.308534,0,1.003,0,0,0.422,0,2.18818380743982e-05,2008,1992,0.00226415
"161","YBL046W","Verified","Established ORFs","no",NA,NA,2.39653070583657,1326,0.641723,0,1.0255,0,0,0.408,0,0,1966,1957,0.00524694
"162","YBL047C","Verified","Established ORFs","yes","decreased",-0.34,1.44030894942613,4146,0.812455,0,0.982,0,0,0.413,0,7.24112961622013e-06,1816,1814,0.00360945
