"","nameNGO","nameINTER","INTER_length_nt","NGO_length_aa","NGO_no_hel","fract_lengths","coorStartNGO","coorEndNGO","coorStartINTER","coorEndINTER","ChromNGO","ChromINTER","bin"
"19","smorf100422","chr07_1.608",915,31,0,0.1016,1081285,1081380,1080674,1081589,7,7,0.125
"20","smorf100427","chr07_1.607",1531,41,0,0.0803,1079611,1079736,1078359,1079890,7,7,0.075
"21","smorf100428","chr07_1.607",1531,58,0,0.1137,1079374,1079550,1078359,1079890,7,7,0.125
"22","smorf100455","chr07_1.604",2248,34,0,0.0454,1073446,1073550,1071720,1073968,7,7,0.025
"23","smorf100460","chr07_1.604",2248,49,0,0.0654,1071991,1072140,1071720,1073968,7,7,0.075
"24","smorf100472","chr07_1.603",1301,48,0,0.1107,1069567,1069713,1068997,1070298,7,7,0.125
"25","smorf100493","chr07_1.602",2281,44,1,0.0579,1066609,1066743,1064946,1067227,7,7,0.075
"26","smorf100495","chr07_1.602",2281,31,0,0.0408,1066369,1066464,1064946,1067227,7,7,0.025
"27","smorf100497","chr07_1.602",2281,32,0,0.0421,1065550,1065648,1064946,1067227,7,7,0.025
"28","smorf100498","chr07_1.602",2281,53,1,0.0697,1065310,1065471,1064946,1067227,7,7,0.075
"29","smorf100501","chr07_1.601",659,40,0,0.1821,1063162,1063284,1063159,1063818,7,7,0.175
"30","smorf100523","chr07_1.597",525,32,1,0.1829,1057303,1057401,1057263,1057788,7,7,0.175
"31","smorf100533","chr07_1.596",1098,27,0,0.0738,1052638,1052721,1051731,1052829,7,7,0.075
"32","smorf100536","chr07_1.596",1098,39,0,0.1066,1052281,1052400,1051731,1052829,7,7,0.125
"33","smorf100632","chr07_1.585",281,31,0,0.331,1031656,1031751,1031515,1031796,7,7,0.325
"34","smorf100648","chr07_1.584",407,27,0,0.199,1027078,1027161,1026968,1027375,7,7,0.175
"35","smorf100682","chr07_1.577",231,27,0,0.3506,1014190,1014273,1014095,1014326,7,7,0.375
"36","smorf100693","chr07_1.576",1714,52,0,0.091,1012009,1012167,1010772,1012486,7,7,0.075
"37","smorf100697","chr07_1.576",1714,41,0,0.0718,1011220,1011345,1010772,1012486,7,7,0.075
"38","smorf100740","chr07_1.567",639,30,0,0.1408,996448,996540,996234,996873,7,7,0.125
"39","smorf100747","chr07_1.566",2117,44,0,0.0624,994852,994986,993526,995643,7,7,0.075
"40","smorf100748","chr07_1.566",2117,28,0,0.0397,994723,994809,993526,995643,7,7,0.025
"41","smorf100750","chr07_1.566",2117,49,0,0.0694,994378,994527,993526,995643,7,7,0.075
"42","smorf100753","chr07_1.566",2117,27,0,0.0383,993928,994011,993526,995643,7,7,0.025
"43","smorf100793","chr07_1.563",286,54,0,0.5664,985780,985944,985690,985976,7,7,0.575
"44","smorf100814","chr07_1.560",445,66,0,0.4449,979441,979641,979324,979769,7,7,0.425
"45","smorf100830","chr07_1.558",612,26,0,0.1275,976930,977010,976728,977340,7,7,0.125
"46","smorf100847","chr07_1.554",499,33,0,0.1984,969007,969108,968692,969191,7,7,0.175
"47","smorf100889","chr07_1.549",1694,37,1,0.0655,959752,959865,958213,959907,7,7,0.075
"48","smorf100890","chr07_1.549",1694,51,0,0.0903,959470,959625,958213,959907,7,7,0.075
"49","smorf100891","chr07_1.549",1694,35,0,0.062,959248,959355,958213,959907,7,7,0.075
"50","smorf100930","chr07_1.547",479,43,0,0.2693,953617,953748,953483,953962,7,7,0.275
"51","smorf100931","chr07_1.546",240,41,0,0.5125,952312,952437,952310,952550,7,7,0.525
"52","smorf100937","chr07_1.545",994,54,0,0.163,951115,951279,950902,951896,7,7,0.175
"53","smorf101081","chr07_1.528",1109,68,0,0.1839,919900,920106,919470,920579,7,7,0.175
"54","smorf101082","chr07_1.528",1109,42,1,0.1136,919765,919893,919470,920579,7,7,0.125
"55","smorf101083","chr07_1.528",1109,57,0,0.1542,919573,919746,919470,920579,7,7,0.175
"56","smorf101097","chr07_1.525",502,32,0,0.1912,914806,914904,914743,915245,7,7,0.175
"57","smorf10113","chr02_1.337",270,28,1,0.3111,616034,616120,615851,616121,2,2,0.325
"58","smorf101144","chr07_1.516",488,50,0,0.3074,905017,905169,904753,905241,7,7,0.325
"59","smorf101158","chr07_1.514",249,31,0,0.3735,902278,902373,902275,902524,7,7,0.375
"60","smorf101203","chr07_1.511",552,38,0,0.2065,894523,894639,894145,894697,7,7,0.225
"61","smorf101204","chr07_1.511",552,39,0,0.212,894268,894387,894145,894697,7,7,0.225
"63","smorf101230","chr07_1.504",580,26,0,0.1345,882457,882537,882236,882816,7,7,0.125
"64","smorf101276","chr07_1.498",627,44,1,0.2105,871522,871656,871421,872048,7,7,0.225
"65","smorf101299","chr07_1.489",459,46,0,0.3007,853399,853539,853220,853679,7,7,0.325
"66","smorf101336","chr07_1.479",265,26,0,0.2943,840652,840732,840563,840828,7,7,0.275
"67","smorf101366","chr07_1.477",483,32,0,0.1988,835978,836076,835908,836391,7,7,0.175
"68","smorf101392","chr07_1.473",361,56,1,0.4654,830344,830514,830158,830519,7,7,0.475
"70","smorf101484","chr07_1.465",944,44,1,0.1398,807802,807936,807689,808633,7,7,0.125
"71","smorf10150","chr02_1.343",281,34,0,0.363,624329,624433,624207,624488,2,2,0.375
"72","smorf101507","chr07_1.462",616,38,1,0.1851,802015,802131,801828,802444,7,7,0.175
"73","smorf101508","chr07_1.462",616,28,0,0.1364,801925,802011,801828,802444,7,7,0.125
"74","smorf101519","chr07_1.460",674,36,0,0.1602,798199,798309,797873,798547,7,7,0.175
"75","smorf101552","chr07_1.453",852,40,0,0.1408,788881,789003,788183,789035,7,7,0.125
"76","smorf10156","chr02_1.344",1074,36,0,0.1006,625574,625684,624692,625766,2,2,0.125
"77","smorf101613","chr07_1.439",481,27,1,0.1684,772363,772446,771977,772458,7,7,0.175
"78","smorf101615","chr07_1.439",481,43,0,0.2682,772117,772248,771977,772458,7,7,0.275
"79","smorf10163","chr02_1.346",311,27,1,0.2605,632117,632200,631937,632248,2,2,0.275
"80","smorf101637","chr07_1.437",1364,49,0,0.1078,767284,767433,766069,767433,7,7,0.125
"81","smorf101640","chr07_1.437",1364,39,0,0.0858,766783,766902,766069,767433,7,7,0.075
"82","smorf101673","chr07_1.431",443,53,0,0.3589,756736,756897,756457,756900,7,7,0.375
"83","smorf101691","chr07_1.429",881,59,0,0.2009,754150,754329,753849,754730,7,7,0.225
"84","smorf101692","chr07_1.429",881,41,1,0.1396,753883,754008,753849,754730,7,7,0.125
"85","smorf101694","chr07_1.428",346,37,0,0.3208,751066,751179,751052,751398,7,7,0.325
"86","smorf101701","chr07_1.425",270,26,0,0.2889,746668,746748,746532,746802,7,7,0.275
"87","smorf101709","chr07_1.424",399,33,0,0.2481,745642,745743,745440,745839,7,7,0.225
"88","smorf101765","chr07_1.416",307,27,0,0.2638,733678,733761,733632,733939,7,7,0.275
"89","smorf101766","chr07_1.415",484,39,0,0.2417,733153,733272,732932,733416,7,7,0.225
"90","smorf101813","chr07_1.407",365,48,0,0.3945,718627,718773,718531,718896,7,7,0.375
"91","smorf101877","chr07_1.399",307,27,0,0.2638,705202,705285,705055,705362,7,7,0.275
"92","smorf101917","chr07_1.391",210,26,1,0.3714,697297,697377,697238,697448,7,7,0.375
"93","smorf101941","chr07_1.387",279,29,0,0.3118,690067,690156,689969,690248,7,7,0.325
"94","smorf101953","chr07_1.385",430,27,0,0.1884,682306,682389,682139,682569,7,7,0.175
"95","smorf101980","chr07_1.382",170,30,1,0.5294,675550,675642,675504,675674,7,7,0.525
"96","smorf101992","chr07_1.381",274,27,0,0.2956,672019,672102,671915,672189,7,7,0.275
"97","smorf102069","chr07_1.373",1652,39,0,0.0708,654067,654186,652985,654637,7,7,0.075
"98","smorf102073","chr07_1.373",1652,62,0,0.1126,653341,653529,652985,654637,7,7,0.125
"99","smorf102077","chr07_1.372",672,49,0,0.2188,650995,651144,650621,651293,7,7,0.225
"101","smorf102083","chr07_1.370",240,41,1,0.5125,648151,648276,648146,648386,7,7,0.525
"102","smorf102099","chr07_1.368",264,32,1,0.3636,644746,644844,644599,644863,7,7,0.375
"103","smorf102104","chr07_1.367",263,44,0,0.5019,643828,643962,643784,644047,7,7,0.525
"104","smorf102119","chr07_1.364",348,26,0,0.2241,640447,640527,640375,640723,7,7,0.225
"105","smorf10213","chr02_1.358",463,28,0,0.1814,650129,650215,649899,650362,2,2,0.175
"106","smorf102134","chr07_1.361",228,27,0,0.3553,636967,637050,636879,637107,7,7,0.375
"107","smorf102163","chr07_1.357",387,54,0,0.4186,627463,627627,627422,627809,7,7,0.425
"108","smorf102192","chr07_1.355",602,27,0,0.1346,622144,622227,621803,622405,7,7,0.125
"109","smorf102198","chr07_1.354",1062,36,0,0.1017,620413,620523,619862,620924,7,7,0.125
"110","smorf102200","chr07_1.354",1062,29,0,0.0819,620041,620130,619862,620924,7,7,0.075
"111","smorf102235","chr07_1.347",419,32,0,0.2291,607258,607356,607147,607566,7,7,0.225
"112","smorf102263","chr07_1.343",795,53,0,0.2,598969,599130,598625,599420,7,7,0.175
"113","smorf102265","chr07_1.343",795,34,0,0.1283,598720,598824,598625,599420,7,7,0.125
"114","smorf10227","chr02_1.363",314,32,0,0.3057,658511,658609,658387,658701,2,2,0.325
"115","smorf102298","chr07_1.339",463,32,0,0.2073,592480,592578,592446,592909,7,7,0.225
"116","smorf102307","chr07_1.336",356,73,0,0.6152,589555,589776,589473,589829,7,7,0.625
"117","smorf102314","chr07_1.334",598,47,0,0.2358,584602,584745,584300,584898,7,7,0.225
"118","smorf102318","chr07_1.332",1553,39,0,0.0753,582823,582942,581440,582993,7,7,0.075
"119","smorf102323","chr07_1.332",1553,26,0,0.0502,581491,581571,581440,582993,7,7,0.075
"120","smorf102347","chr07_1.329",982,35,0,0.1069,577291,577398,576508,577490,7,7,0.125
"121","smorf102349","chr07_1.329",982,52,0,0.1589,576613,576771,576508,577490,7,7,0.175
"122","smorf102530","chr07_1.306",310,46,0,0.4452,533938,534078,533825,534135,7,7,0.425
"123","smorf102556","chr07_1.301",752,33,0,0.1316,528841,528942,528508,529260,7,7,0.125
"124","smorf102569","chr07_1.298",534,51,0,0.2865,524965,525120,524698,525232,7,7,0.275
"125","smorf102576","chr07_1.297",953,45,0,0.1417,523357,523494,522837,523790,7,7,0.125
"126","smorf10264","chr02_1.368",311,54,0,0.5209,668357,668521,668346,668657,2,2,0.525
"127","smorf102645","chr07_1.286",210,35,0,0.5,505963,506070,505863,506073,7,7,0.475
"128","smorf102678","chr07_1.275",265,35,0,0.3962,489556,489663,489446,489711,7,7,0.375
"129","smorf102723","chr07_1.269",1257,32,0,0.0764,479455,479553,478657,479914,7,7,0.075
"130","smorf102727","chr07_1.269",1257,48,0,0.1146,478813,478959,478657,479914,7,7,0.125
"131","smorf102756","chr07_1.266",212,44,0,0.6226,474307,474441,474281,474493,7,7,0.625
"132","smorf102765","chr07_1.265",556,60,0,0.3237,472510,472692,472303,472859,7,7,0.325
"133","smorf102803","chr07_1.263",705,28,0,0.1191,465925,466011,465440,466145,7,7,0.125
"134","smorf102804","chr07_1.263",705,44,0,0.1872,465463,465597,465440,466145,7,7,0.175
"135","smorf102816","chr07_1.261",300,30,0,0.3,461434,461526,461370,461670,7,7,0.275
"136","smorf102850","chr07_1.253",228,30,0,0.3947,448555,448647,448540,448768,7,7,0.375
"137","smorf102869","chr07_1.251",732,26,0,0.1066,443281,443361,442914,443646,7,7,0.125
"138","smorf102890","chr07_1.246",633,37,0,0.1754,437140,437253,436838,437471,7,7,0.175
"139","smorf102893","chr07_1.244",2045,33,0,0.0484,435313,435414,433584,435629,7,7,0.025
"140","smorf102895","chr07_1.244",2045,37,0,0.0543,435028,435141,433584,435629,7,7,0.075
"141","smorf102898","chr07_1.244",2045,30,0,0.044,434389,434481,433584,435629,7,7,0.025
"142","smorf102899","chr07_1.244",2045,42,0,0.0616,434158,434286,433584,435629,7,7,0.075
"143","smorf102917","chr07_1.241",652,29,0,0.1334,428467,428556,427953,428605,7,7,0.125
"144","smorf102918","chr07_1.241",652,65,0,0.2991,428203,428400,427953,428605,7,7,0.275
"145","smorf103006","chr07_1.215",1006,45,0,0.1342,398461,398598,397624,398630,7,7,0.125
"146","smorf103007","chr07_1.215",1006,31,0,0.0924,397966,398061,397624,398630,7,7,0.075
"147","smorf103053","chr07_1.207",445,28,0,0.1888,383344,383430,383211,383656,7,7,0.175
"148","smorf103204","chr07_1.178",420,40,0,0.2857,334672,334794,334468,334888,7,7,0.275
"149","smorf103228","chr07_1.177",510,48,0,0.2824,330973,331119,330610,331120,7,7,0.275
"150","smorf103265","chr07_1.173",2100,35,1,0.05,325114,325221,323233,325333,7,7,0.025
"151","smorf103266","chr07_1.173",2100,52,1,0.0743,324871,325029,323233,325333,7,7,0.075
"152","smorf103271","chr07_1.173",2100,40,0,0.0571,323719,323841,323233,325333,7,7,0.075
"153","smorf103272","chr07_1.173",2100,54,1,0.0771,323518,323682,323233,325333,7,7,0.075
"154","smorf103325","chr07_1.161",793,41,0,0.1551,310738,310863,310176,310969,7,7,0.175
"155","smorf103326","chr07_1.161",793,36,0,0.1362,310582,310692,310176,310969,7,7,0.125
"156","smorf103339","chr07_1.158",286,33,0,0.3462,306355,306456,306276,306562,7,7,0.325
"157","smorf103400","chr07_1.149",496,36,0,0.2177,289654,289764,289315,289811,7,7,0.225
"158","smorf103453","chr07_1.138",221,33,1,0.448,270892,270993,270781,271002,7,7,0.425
"159","smorf103536","chr07_1.130",781,33,0,0.1268,254239,254340,253864,254645,7,7,0.125
"160","smorf103546","chr07_1.129",158,34,0,0.6456,252796,252900,252743,252901,7,7,0.625
"161","smorf103643","chr07_1.120",556,33,0,0.1781,229813,229914,229691,230247,7,7,0.175
"162","smorf103648","chr07_1.119",421,33,0,0.2352,228394,228495,228334,228755,7,7,0.225
"163","smorf103656","chr07_1.117",521,30,0,0.1727,226225,226317,225882,226403,7,7,0.175
"164","smorf10366","chr02_1.383",1051,27,0,0.0771,697661,697744,697297,698348,2,2,0.075
"165","smorf103754","chr07_1.102",1734,59,0,0.1021,197773,197952,196409,198143,7,7,0.125
"166","smorf10380","chr02_1.384",546,42,1,0.2308,700064,700192,699938,700484,2,2,0.225
"167","smorf103849","chr07_1.89",843,40,1,0.1423,171232,171354,170577,171420,7,7,0.125
"169","smorf10388","chr02_1.385",746,61,0,0.2453,702146,702331,701837,702583,2,2,0.225
"170","smorf103902","chr07_1.86",968,27,0,0.0837,159730,159813,159102,160070,7,7,0.075
"171","smorf103903","chr07_1.86",968,29,0,0.0899,159466,159555,159102,160070,7,7,0.075
"172","smorf103910","chr07_1.85",309,44,0,0.4272,157714,157848,157602,157911,7,7,0.425
"173","smorf103924","chr07_1.82",390,50,0,0.3846,152998,153150,152782,153172,7,7,0.375
"174","smorf103933","chr07_1.81",511,26,0,0.1526,150880,150960,150531,151042,7,7,0.175
"175","smorf104003","chr07_1.70",721,59,0,0.2455,129571,129750,129166,129887,7,7,0.225
"176","smorf104004","chr07_1.70",721,41,0,0.1706,129328,129453,129166,129887,7,7,0.175
"177","smorf104005","chr07_1.70",721,36,0,0.1498,129208,129318,129166,129887,7,7,0.125
"178","smorf104100","chr07_1.53",1396,31,0,0.0666,95452,95547,94465,95861,7,7,0.075
"179","smorf104161","chr07_1.43",293,44,1,0.4505,80434,80568,80364,80657,7,7,0.475
"180","smorf104195","chr07_1.37",200,28,0,0.42,72595,72681,72547,72747,7,7,0.425
"181","smorf104214","chr07_1.35",638,61,0,0.2868,67327,67512,66959,67597,7,7,0.275
"182","smorf104243","chr07_1.29",666,38,0,0.1712,55966,56082,55815,56481,7,7,0.175
"183","smorf104287","chr07_1.21",348,39,0,0.3362,41218,41337,41149,41497,7,7,0.325
"184","smorf104296","chr07_1.20",242,39,1,0.4835,38890,39009,38780,39022,7,7,0.475
"185","smorf104342","chr07_1.14",436,37,1,0.2546,27631,27744,27484,27920,7,7,0.275
"186","smorf104362","chr07_1.12",731,44,0,0.1806,23299,23433,23203,23934,7,7,0.175
"187","smorf104399","chr07_1.10",4670,33,0,0.0212,16984,17085,16307,20977,7,7,0.025
"188","smorf104401","chr07_1.10",4670,29,0,0.0186,16765,16854,16307,20977,7,7,0.025
"189","smorf104402","chr07_1.10",4670,26,0,0.0167,16618,16698,16307,20977,7,7,0.025
"191","smorf104422","chr07_1.7",1714,40,0,0.07,9730,9852,9395,11109,7,7,0.075
"192","smorf104441","chr07_1.2",1379,43,0,0.0935,3994,4125,3932,5311,7,7,0.075
"193","smorf104500","chr08_1.6",715,28,0,0.1175,12955,13041,12847,13562,8,8,0.125
"194","smorf104501","chr08_1.6",715,31,0,0.1301,13114,13209,12847,13562,8,8,0.125
"195","smorf104508","chr08_1.7",628,45,0,0.215,14506,14643,14270,14898,8,8,0.225
"196","smorf10451","chr02_1.394",416,28,0,0.2019,716582,716668,716460,716876,2,2,0.225
"197","smorf104513","chr08_1.9",1272,31,1,0.0731,16288,16383,16117,17389,8,8,0.075
"198","smorf104514","chr08_1.9",1272,26,0,0.0613,16585,16665,16117,17389,8,8,0.075
"199","smorf104519","chr08_1.10",1245,55,0,0.1325,18064,18231,17839,19084,8,8,0.125
"200","smorf104520","chr08_1.10",1245,29,0,0.0699,18256,18345,17839,19084,8,8,0.075
"201","smorf104523","chr08_1.10",1245,28,0,0.0675,18967,19053,17839,19084,8,8,0.075
"202","smorf104538","chr08_1.11",811,41,0,0.1517,21349,21474,20968,21779,8,8,0.175
"203","smorf10458","chr02_1.395",1038,62,1,0.1792,718568,718756,717989,719027,2,2,0.175
"204","smorf104581","chr08_1.17",1177,27,0,0.0688,35104,35187,34075,35252,8,8,0.075
"205","smorf10459","chr02_1.395",1038,54,0,0.1561,718784,718948,717989,719027,2,2,0.175
"206","smorf104596","chr08_1.19",306,56,1,0.549,38545,38715,38506,38812,8,8,0.525
"207","smorf104626","chr08_1.22",794,44,1,0.1662,48415,48549,47966,48760,8,8,0.175
"208","smorf104631","chr08_1.23",530,49,0,0.2774,50665,50814,50578,51108,8,8,0.275
"209","smorf10464","chr02_1.396",785,29,1,0.1108,720806,720895,720599,721384,2,2,0.125
"210","smorf104642","chr08_1.25",684,58,1,0.2544,54352,54528,54164,54848,8,8,0.275
"211","smorf104643","chr08_1.25",684,49,0,0.2149,54643,54792,54164,54848,8,8,0.225
"212","smorf104653","chr08_1.27",332,44,1,0.3976,58837,58971,58788,59120,8,8,0.375
"213","smorf10467","chr02_1.397",297,32,0,0.3232,722315,722413,722308,722605,2,2,0.325
"214","smorf104718","chr08_1.41",236,58,0,0.7373,80440,80616,80413,80649,8,8,0.725
"215","smorf104727","chr08_1.43",346,48,0,0.4162,83752,83898,83717,84063,8,8,0.425
"216","smorf104806","chr08_1.58",689,33,0,0.1437,108496,108597,108117,108806,8,8,0.125
"217","smorf104846","chr08_1.67",651,29,0,0.1336,119542,119631,119434,120085,8,8,0.125
"218","smorf104873","chr08_1.71",839,29,0,0.1037,125710,125799,125675,126514,8,8,0.125
"219","smorf104875","chr08_1.71",839,32,1,0.1144,126070,126168,125675,126514,8,8,0.125
"220","smorf104955","chr08_1.89",555,30,0,0.1622,148960,149052,148662,149217,8,8,0.175
"221","smorf104956","chr08_1.89",555,41,0,0.2216,149080,149205,148662,149217,8,8,0.225
"222","smorf104958","chr08_1.90",871,27,0,0.093,150715,150798,150338,151209,8,8,0.075
"223","smorf105006","chr08_1.92",291,56,1,0.5773,157507,157677,157445,157736,8,8,0.575
"224","smorf105068","chr08_1.100",373,43,0,0.3458,173077,173208,172963,173336,8,8,0.325
"225","smorf105130","chr08_1.109",363,30,1,0.2479,187051,187143,186802,187165,8,8,0.225
"226","smorf105145","chr08_1.112",678,66,1,0.292,190237,190437,189857,190535,8,8,0.275
"227","smorf10517","chr02_1.412",296,67,2,0.6791,739625,739828,739539,739835,2,2,0.675
"228","smorf105175","chr08_1.117",454,54,0,0.3568,198430,198594,198278,198732,8,8,0.375
"229","smorf105190","chr08_1.118",3296,33,0,0.03,202432,202533,201303,204599,8,8,0.025
"230","smorf105194","chr08_1.118",3296,53,0,0.0482,203176,203337,201303,204599,8,8,0.025
"231","smorf10520","chr02_1.413",276,45,0,0.4891,741140,741277,741017,741293,2,2,0.475
"232","smorf105259","chr08_1.134",398,73,1,0.5503,222616,222837,222480,222878,8,8,0.575
"233","smorf105355","chr08_1.151",1459,57,0,0.1172,249859,250032,249643,251102,8,8,0.125
"234","smorf105385","chr08_1.154",225,31,0,0.4133,258031,258126,258020,258245,8,8,0.425
"235","smorf105491","chr08_1.171",1222,48,0,0.1178,290032,290178,289693,290915,8,8,0.125
"236","smorf105493","chr08_1.171",1222,30,0,0.0736,290674,290766,289693,290915,8,8,0.075
"238","smorf105512","chr08_1.173",1291,27,0,0.0627,293659,293742,293380,294671,8,8,0.075
"239","smorf105524","chr08_1.174",937,38,0,0.1217,296770,296886,296450,297387,8,8,0.125
"240","smorf105525","chr08_1.174",937,40,0,0.1281,296983,297105,296450,297387,8,8,0.125
"241","smorf105602","chr08_1.186",249,26,0,0.3133,330100,330180,330063,330312,8,8,0.325
"242","smorf105628","chr08_1.193",305,32,0,0.3148,341389,341487,341362,341667,8,8,0.325
"243","smorf105650","chr08_1.199",305,31,0,0.3049,353527,353622,353322,353627,8,8,0.325
"244","smorf105675","chr08_1.205",731,44,0,0.1806,360232,360366,360184,360915,8,8,0.175
"245","smorf10568","chr02_1.420",178,32,0,0.5393,751178,751276,751172,751350,2,2,0.525
"246","smorf105689","chr08_1.208",811,50,0,0.185,364303,364455,364156,364967,8,8,0.175
"247","smorf105703","chr08_1.210",509,28,0,0.165,368290,368376,367995,368504,8,8,0.175
"248","smorf105722","chr08_1.215",343,45,0,0.3936,374392,374529,374313,374656,8,8,0.375
"249","smorf105727","chr08_1.216",608,56,1,0.2763,375232,375402,375103,375711,8,8,0.275
"250","smorf105738","chr08_1.219",908,31,0,0.1024,379372,379467,379202,380110,8,8,0.125
"251","smorf105742","chr08_1.219",908,55,0,0.1817,379813,379980,379202,380110,8,8,0.175
"252","smorf105805","chr08_1.233",369,30,0,0.2439,394225,394317,394088,394457,8,8,0.225
"253","smorf105810","chr08_1.234",591,34,0,0.1726,397135,397239,396662,397253,8,8,0.175
"254","smorf105857","chr08_1.239",924,46,0,0.1494,406753,406893,406181,407105,8,8,0.125
"255","smorf105909","chr08_1.244",369,37,0,0.3008,417352,417465,417182,417551,8,8,0.325
"256","smorf105924","chr08_1.245",157,29,0,0.5541,419080,419169,419066,419223,8,8,0.575
"257","smorf106094","chr08_1.263",521,27,0,0.1555,453724,453807,453707,454228,8,8,0.175
"258","smorf106115","chr08_1.265",1346,55,1,0.1226,458641,458808,457952,459298,8,8,0.125
"259","smorf106117","chr08_1.265",1346,26,0,0.0579,459196,459276,457952,459298,8,8,0.075
"260","smorf10612","chr02_1.423",357,28,0,0.2353,760931,761017,760895,761252,2,2,0.225
"261","smorf106128","chr08_1.266",971,58,1,0.1792,462124,462300,461530,462501,8,8,0.175
"262","smorf106141","chr08_1.272",304,58,1,0.5724,467977,468153,467914,468218,8,8,0.575
"263","smorf106271","chr08_1.292",219,44,1,0.6027,498892,499026,498859,499078,8,8,0.625
"264","smorf106318","chr08_1.301",1046,55,1,0.1577,517234,517401,516485,517531,8,8,0.175
"265","smorf106335","chr08_1.304",3654,26,0,0.0213,522370,522450,521737,525391,8,8,0.025
"266","smorf106339","chr08_1.304",3654,74,2,0.0608,522856,523080,521737,525391,8,8,0.075
"267","smorf106344","chr08_1.304",3654,37,0,0.0304,524218,524331,521737,525391,8,8,0.025
"268","smorf106345","chr08_1.304",3654,42,0,0.0345,524482,524610,521737,525391,8,8,0.025
"269","smorf106478","chr08_1.317",893,30,1,0.1008,554218,554310,553502,554395,8,8,0.125
"270","smorf106555","chr08_1.4",1615,55,1,0.1022,10922,11089,10305,11920,8,8,0.125
"271","smorf106569","chr08_1.7",628,32,0,0.1529,14663,14761,14270,14898,8,8,0.175
"272","smorf106574","chr08_1.9",1272,33,1,0.0778,16451,16552,16117,17389,8,8,0.075
"273","smorf106577","chr08_1.9",1272,27,0,0.0637,16940,17023,16117,17389,8,8,0.075
"274","smorf106578","chr08_1.9",1272,27,0,0.0637,17039,17122,16117,17389,8,8,0.075
"275","smorf106645","chr08_1.17",1177,36,0,0.0918,34202,34312,34075,35252,8,8,0.075
"276","smorf106646","chr08_1.17",1177,43,0,0.1096,34724,34855,34075,35252,8,8,0.125
"277","smorf106647","chr08_1.17",1177,37,0,0.0943,34886,34999,34075,35252,8,8,0.075
"278","smorf106660","chr08_1.19",306,31,0,0.3039,38672,38767,38506,38812,8,8,0.325
"279","smorf106676","chr08_1.22",794,53,0,0.2003,48164,48325,47966,48760,8,8,0.225
"280","smorf106696","chr08_1.25",684,26,0,0.114,54665,54745,54164,54848,8,8,0.125
"281","smorf106753","chr08_1.31",382,74,0,0.5812,65909,66133,65856,66238,8,8,0.575
"282","smorf106805","chr08_1.40",581,44,0,0.2272,78425,78559,78350,78931,8,8,0.225
"283","smorf106939","chr08_1.58",689,27,0,0.1176,108533,108616,108117,108806,8,8,0.125
"284","smorf10696","chr02_1.437",1931,59,0,0.0917,785210,785389,785069,787000,2,2,0.075
"285","smorf106976","chr08_1.67",651,33,0,0.1521,119603,119704,119434,120085,8,8,0.175
"286","smorf106977","chr08_1.67",651,26,0,0.1198,119912,119992,119434,120085,8,8,0.125
"287","smorf106985","chr08_1.68",866,34,0,0.1178,122081,122185,121678,122544,8,8,0.125
"288","smorf106997","chr08_1.71",839,38,0,0.1359,125936,126052,125675,126514,8,8,0.125
"289","smorf106998","chr08_1.71",839,29,1,0.1037,126095,126184,125675,126514,8,8,0.125
"290","smorf106999","chr08_1.71",839,58,0,0.2074,126260,126436,125675,126514,8,8,0.225
